Komentar,Kategori,Preprocessed Text,Sentiment
 bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang ,Non-bullying,bangkit ya bang lemah pelajaran ujian lu bang,non-bulliying
 jangan patah semngat kak sukses terus ,Non-bullying,patah semngat kak sukses,non-bulliying
 semangat ferdian gausah dengerin orang yang hujat kamu  karena semua manusia tidak luput dari kesalahan ,Non-bullying,semangat ferdian gausah dengerin orang hujat manusia luput kesalahan,non-bulliying
 sumpah sekarang aku respect banget sama kamu ,Non-bullying,sumpah respect banget,non-bulliying
 menurutku pribadi  dia tulus minta maafnya   ,Non-bullying,menurutku pribadi tulus maafnya,non-bulliying
 dikasih bidadari maunya boneka santet ,Bullying,dikasih bidadari maunya boneka santet,bulliying
 ilang respect gue   padahal jane udh setia bgt sama lu  tapi lu nya main cewe pas udh keluar dri penjara   lol ,Non-bullying,ilang respect gue jane udh setia bgt lu lu nya main cewe pas udh dri penjara lol,bulliying
 hapus ajh ni poto ngk tau malu bgt lu bang ,Non-bullying,hapus ajh ni poto ngk tau malu bgt lu bang,non-bulliying
 intinya gasuka ajg selama ada listy   ngrusak suasana ,Bullying,intinya gasuka ajg listy ngrusak suasana,bulliying
 di foto ini ada   anjing dan   kontol ,Bullying,foto anjing kontol,bulliying
 kasian banget jane udah nunggu keluar penjara eh taunya     waw sakit siih ,Non-bullying,kasian banget jane udah nunggu penjara eh taunya waw sakit siih,bulliying
 puny cewk baik di selingkuhin g ngotak ,Bullying,puny cewk selingkuhin g ngotak,bulliying
 inget yg di potong itu masalah nya bukan hubungan nya  tapi kalo udah gini sembeleh aja orang nya    udah terlanjur kecewa ,Bullying,inget yg potong nya hubungan nya kalo udah gini sembeleh aja orang nya udah terlanjur kecewa,bulliying
 ini buat konten   masa putus foto tabi sama jessica engga dihapus   ,Non-bullying,konten putus foto tabi jessica engga dihapus,non-bulliying
 tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih ,Non-bullying,makan dibikin ama jess tpi ngehianatin gila sih,non-bulliying
 parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss ,Non-bullying,parah lu bang nama lu udh rusak karna narkoba nambah ajh truss,non-bulliying
 ini anjing kok mirip ya sama erick ,Bullying,anjing ya erick,bulliying
 muka pas an sok sok an mau sm lonte lo anjing ,Bullying,muka pas an sok sok an sm lonte lo anjing,bulliying
 lu sama anjingnya  lebih baik anjingnya ,Bullying,lu anjingnya anjingnya,bulliying
 ih ada babi jgn megang tuh anjing harga dirinya lebih tinggi dripada lo ,Bullying,ih babi jgn megang tuh anjing harga dripada lo,bulliying
 santuy aja bang ga usah di tanggepin btw gw suka gaya lo ,Non-bullying,santuy aja bang ga tanggepin btw gw suka gaya lo,non-bulliying
 narkoboy kontol  cuma bisa maen cewe sama nyakitin doang lu anjing  mati aja lu bego ,Bullying,narkoboy kontol maen cewe nyakitin doang lu anjing mati aja lu bego,bulliying
 tetep penjara aja ajg nyusahin lo keluar ,Bullying,tetep penjara aja ajg nyusahin lo,bulliying
 cewe cakep  setia kok disia sia in sahabat ,Non-bullying,cewe cakep setia disia sia in sahabat,bulliying
 loh kok ak liatnya anjing semua yaa ,Bullying,loh ak liatnya anjing yaa,bulliying
 anjingnya ada dua kok guys  tapi kok lagi satu gue liat ada babi item ,Bullying,anjingnya guys gue liat babi item,bulliying
 mantan anjing  eh kebalik anjing mantan ,Bullying,mantan anjing eh kebalik anjing mantan,bulliying
 bikin skandal karena kepengen tenar  ,Non-bullying,bikin skandal kepengen tenar,non-bulliying
 wiii anjay kapan lagi liat babi megang   anjing ,Bullying,wiii anjay liat babi megang anjing,bulliying
 ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari ,Bullying,foto babi memeluk anjing yg pemilik nya bidadari,bulliying
 babi g pantes nyentuh anjingnya bidadari  nanti kotor  ,Bullying,babi g pantes nyentuh anjingnya bidadari kotor,bulliying
 sesama anjing foto dulu ya kan ,Bullying,anjing foto ya,bulliying
 potret seorjing memegang anjing kwkw ,Bullying,potret seorjing memegang anjing kwkw,bulliying
 heh udh napa hate nya cape gw baca nya ,Non-bullying,heh udh napa hate nya cape gw baca nya,non-bulliying
 waduh malah lebih ganteng anjingnya  eh eh bahkan lu ga pantes disebut anjing  anjing kan setia pantesnya sih babi hahahaha ,Bullying,ganteng anjingnya eh eh lu ga pantes anjing anjing setia pantesnya sih babi hahahaha,bulliying
 kalo lomba sama an sm babi  babi nya nmr   ,Bullying,kalo lomba an sm babi babi nya nmr,bulliying
 si anjing ketika berfoto dengan si anjing ,Bullying,si anjing berfoto si anjing,bulliying
 kak jessica yg nungguin setia sm kk loh pas ad masalah kmrn  tapi kk ga ngehargain malah lbh milih yg d sono ,Non-bullying,kak jessica yg nungguin setia sm kk loh pas ad kmrn kk ga ngehargain lbh milih yg d sono,non-bulliying
 erikontolim manusia babi anak lonte ,Bullying,erikontolim manusia babi anak lonte,bulliying
 hargailah hati wanita yang udh tulus nemenin lo dari      ,Non-bullying,hargailah hati wanita udh tulus nemenin lo,bulliying
 tapi bagus sih erick mutusin jessica ya karna erick kelakuan ny begituu coba liat jessica ,Non-bullying,bagus sih erick mutusin jessica ya karna erick kelakuan ny begituu coba liat jessica,non-bulliying
 anjing sekarang hebat ya  bisa pake kacamata ,Bullying,anjing hebat ya pake kacamata,bulliying
 sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa ,Non-bullying,sdh lh nasi udah jdi bubur ga dibentuk kek semulaaa,non-bulliying
 kukira kehadiranmu akan menjadi sesuatu kebanggaan  ternyata tidak ,Non-bullying,kukira kehadiranmu kebanggaan,non-bulliying
 ada   ajg dan yg punya tato bener  ajg ,Bullying,ajg yg tato bener ajg,bulliying
 dasar orang tua gada akhlak ngajarin anaknya yang ga bener ,Bullying,dasar orang tua gada akhlak ngajarin anaknya ga bener,bulliying
 erik kenapa sih  ada yang bisa jelasin gw ga update soalnya   maap  ,Non-bullying,erik sih jelasin gw ga update maap,non-bulliying
 eh jangan dekat dekat sama anjingnya ci jessica gua lempar lu ,Bullying,eh anjingnya ci jessica gua lempar lu,bulliying
 guys dr pd comment  mending unfoll sm unsubscribe aja yaa ,Non-bullying,guys dr pd comment mending unfoll sm unsubscribe aja yaa,non-bulliying
 babi lagi main ma anjing    ,Bullying,babi main ma anjing,bulliying
 dikasi bidadari malah pilih babi ,Bullying,dikasi bidadari pilih babi,bulliying
 postingan pertama jg dihujat dong gila netijen ,Non-bullying,postingan jg dihujat gila netijen,non-bulliying
 baru kali ini lihat anjing sama babi baikan  ,Bullying,kali lihat anjing babi baikan,bulliying
 dikasih bidadari malah milih setan ,Bullying,dikasih bidadari milih setan,bulliying
 padahal gw g mau benci ama lu bro  tpi ada aja tingkah lu yang melenceng   ,Non-bullying,gw g benci ama lu bro tpi aja tingkah lu melenceng,non-bulliying
 sikap mu lebih najis daripada ludah anjing  ,Bullying,sikap mu najis ludah anjing,bulliying
 njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru  ,Non-bullying,njir udh nih poto post yg komen,non-bulliying
 kesini cmn mo liat komen aja ,Non-bullying,kesini cmn mo liat komen aja,non-bulliying
 buset hate comment ampe postingan paling bawah ,Non-bullying,buset hate comment ampe postingan,non-bulliying
 foto di upload nya    maret yang comment   jam   jam   jam yg lalu ,Non-bullying,foto upload nya maret comment jam jam jam yg,bulliying
 pantes banyak utang buat bayar lonte ,Bullying,pantes utang bayar lonte,bulliying
     tutup botol muka lu kek kontol wkwk ,Bullying,tutup botol muka lu kek kontol wkwk,bulliying
 astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener ,Non-bullying,astaga pagi dibikin ngakak ama komenan netijen yg ngmng suka bener,non-bulliying
 dah lah  gw capek baca komen kalian ,Non-bullying,dah gw capek baca komen,non-bulliying
 keliatan bgt anjingnya ketakutan foto sama dakjal ,Bullying,keliatan bgt anjingnya ketakutan foto dakjal,bulliying
 astaga ngehujat sampe postingan paling bawah ,Non-bullying,astaga ngehujat sampe postingan,non-bulliying
 lebih najis elu daripada anjing  ,Bullying,najis elu anjing,bulliying
   ekor anjing dan satu buaya makan jambut ,Bullying,ekor anjing buaya makan jambut,bulliying
 kalo disuruh melihara anjing eric gw pilih anjing aja meski najis tapi lebih najisan erick kontol ,Bullying,kalo disuruh melihara anjing eric gw pilih anjing aja najis najisan erick kontol,bulliying
 ngapain si pada ngejudge  mikir dulu lah dia putus juga sebelum kejadian itu tolol ,Non-bullying,ngapain si ngejudge mikir putus kejadian tolol,bulliying
 hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu ,Non-bullying,hargai wanitamu didekati pria memilihmu,non-bulliying
 ternyata sipat anjing bukan hanya ada di anjing doang ya di manusia sipat anjing juga ternyata ada ,Bullying,sipat anjing anjing doang ya manusia sipat anjing,bulliying
 potret ketika anjing poto dengan setan ,Bullying,potret anjing poto setan,bulliying
 bantu bedainn woyy mana anjing mana babi ,Bullying,bantu bedainn woyy anjing babi,bulliying
 udaah woii udahh lu gak kasihan apa   aku capek ngelike komenan kalian ,Non-bullying,udaah woii udahh lu gak kasihan capek ngelike komenan,bulliying
   anjing   anjing berwujud manusia    anjing asli tak ada perwujudan aowkwkw ,Bullying,anjing anjing berwujud manusia anjing asli perwujudan aowkwkw,bulliying
 kasian gue sama anjingnya dipegang dajjal ,Bullying,kasian gue anjingnya dipegang dajjal,bulliying
 kasian anjing nya di pegang babi ,Bullying,kasian anjing nya pegang babi,bulliying
 lo itu kontol gak guna ajg anak dakjal ,Bullying,lo kontol gak ajg anak dakjal,bulliying
 mukak lu lebih buruk daripada anjing lu ,Bullying,mukak lu buruk anjing lu,bulliying
 dikasi yang bening malah milih yang dakian ,Bullying,dikasi bening milih dakian,bulliying
 mending masuk penjara lagi aja dah seumur hidup ,Bullying,mending masuk penjara aja dah seumur hidup,bulliying
 kok lbih lucu anjingnya ya ktimbang orangnya ,Bullying,lbih lucu anjingnya ya ktimbang orangnya,bulliying
 akhirnya jesica bisa lepas dari kambing hitam ini ,Bullying,jesica lepas kambing hitam,bulliying
 maafin aja bro semua orang pasti ada kesalahan dia juga pasti ada kesalahan nasehatin aja siapa tau dia berubah ,Non-bullying,maafin aja bro orang kesalahan kesalahan nasehatin aja tau berubah,non-bulliying
 kasian anjingnya dipeluk sma sampahh ,Bullying,kasian anjingnya dipeluk sma sampahh,bulliying
 gua kira keluar dari penjara bisa berubah ,Non-bullying,gua penjara berubah,bulliying
 cintamu hanya sebatas kertas wkwkw enteng bang ,Non-bullying,cintamu sebatas kertas wkwkw enteng bang,non-bulliying
 padahal sejak dia sama jane aku lebih respect    skrg bener  udah hilang respect    ,Non-bullying,jane respect skrg bener udah hilang respect,bulliying
 udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh  ga nyangka idola gua sesampah itu  ,Bullying,udah nemenin tersulit lo pas udah selingkuh ga nyangka idola gua sesampah,bulliying
 dihujat habis an semua postingan lama ada komen baru wkwk ,Non-bullying,dihujat habis an postingan komen wkwk,non-bulliying
 gua gabisa bedain mana anjing mana manusia  keliatannya sama ,Bullying,gua gabisa bedain anjing manusia keliatannya,bulliying
 lu mirip anaknya kick andy yg namanya marlo bang ,Non-bullying,lu anaknya kick andy yg namanya marlo bang,non-bulliying
 kenapa ada orang baik   karna ada orang jahat ,Non-bullying,orang karna orang jahat,non-bulliying
 ngga ada niatan ngadain pengajian gitu bang  ,Non-bullying,ngga niatan ngadain pengajian gitu bang,non-bulliying
 suka banget sama rambutnyaa tambah ganteng ,Non-bullying,suka banget rambutnyaa ganteng,non-bulliying
  abatartila ada ada aja kaya gini di bilang king  king muke nya udh kaya tai musang ,Bullying,abatartila aja kaya gini bilang king king muke nya udh kaya tai musang,bulliying
 ninggalin berlian demi tai babi dih ,Bullying,ninggalin berlian tai babi dih,bulliying
 ganteng kaga lu begitu malah keliatan kaya daki kontol ,Bullying,ganteng kaga lu keliatan kaya daki kontol,bulliying
 mukak lo kayak tapir kuda asu sok ganteng banget lo ,Bullying,mukak lo kayak tapir kuda asu sok ganteng banget lo,bulliying
 banyak yg kecewa karena lu begini rik     ,Non-bullying,yg kecewa lu rik,bulliying
 maap ye muke lu udh jelek kaga usah sok selingkuh cakepan anjing gua noh ,Bullying,maap ye muke lu udh jelek kaga sok selingkuh cakepan anjing gua noh,bulliying
 apa si hebatnya banci yg badannya penuh koreng kaya lo ,Bullying,si hebatnya banci yg badannya penuh koreng kaya lo,bulliying
 gini dong bersihan kaga kek tahun tahun sebelumnya dekil ,Bullying,gini bersihan kaga kek dekil,bulliying
 muka lu keriput kek aki aki ,Bullying,muka lu keriput kek aki aki,bulliying
 foto jelek dihujat  foto ganteng dibilang sok ganteng ,Non-bullying,foto jelek dihujat foto ganteng dibilang sok ganteng,bulliying
 kebanyakan nyabu jadi kurus lu ,Bullying,kebanyakan nyabu kurus lu,bulliying
 narkoboyy ngeluarin lidahh  ajg mau apa  mau tes urin ,Bullying,narkoboyy ngeluarin lidahh ajg tes urin,bulliying
 fotolu pede anjrit muka lu tu anjrit ,Bullying,fotolu pede anjrit muka lu tu anjrit,bulliying
 hidup itu jngn keterlaluan boss playboy amat ajg luu ,Bullying,hidup jngn boss playboy ajg luu,bulliying
 mukalu kek aktor bokep bgst mending ngobat aja luu ,Bullying,mukalu kek aktor bokep bgst mending ngobat aja luu,bulliying
 dah jelek semangattt pulak wkwk ,Bullying,dah jelek semangattt pulak wkwk,bulliying
 muka nya kok gitu  seren bikin mual liatnya ,Bullying,muka nya gitu seren bikin mual liatnya,bulliying
 sana anjing ngewe ama lonte bangsat ,Bullying,anjing ngewe ama lonte bangsat,bulliying
 muka kek kontol mending di penjara ,Bullying,muka kek kontol mending penjara,bulliying
 muka kek banci dih najis ,Bullying,muka kek banci dih najis,bulliying
 ntar mati dalam keadaan konyol ,Bullying,ntar mati konyol,bulliying
 mau bilang jelek nya ga enak hehe   ,Bullying,bilang jelek nya ga enak hehe,bulliying
 idihhhhh pantesan aja foto nya keluarin lidah kyk gtu  trnyata tukang jilat  ,Bullying,idihhhhh pantesan aja foto nya keluarin lidah kyk gtu trnyata tukang jilat,bulliying
 nih orang kalo lomba mirip babi babinya juara   ,Bullying,nih orang kalo lomba babi babinya juara,bulliying
 titisan dakjal emg lo nyet ,Bullying,titisan dakjal emg lo nyet,bulliying
 et muka lu aje gitu dih hahaha  biarin aja sampah ketemu sampah biar busuk bersama ,Bullying,et muka lu aje gitu dih hahaha biarin aja sampah ketemu sampah biar busuk,bulliying
 jijik astagah sok bat cakep njs ,Bullying,jijik astagah sok bat cakep njs,bulliying
 bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii  ajgg,Non-bullying,bully an ig ngeri fb ajg gua ngerii ajgg,non-bulliying
 udah buriq brengsek pula pantes aja dapet lonte ,Bullying,udah buriq brengsek pantes aja dapet lonte,bulliying
 muka kampung gaya sok soan kota nyet ,Bullying,muka kampung gaya sok soan kota nyet,bulliying
 ngapa lidah lo stroke amin deh kalau gtu ,Bullying,ngapa lidah lo stroke amin deh gtu,bulliying
 ciah dihujat   indonesia jangan sampe bunuh diri ya komtoll kami blom puas nguat kauuu ,Bullying,ciah dihujat indonesia sampe bunuh ya komtoll blom puas nguat kauuu,non-bulliying
 org kampung otak dusun gaya sosoan hype  ttep aja gabisa nutupin muka babu lu  ,Bullying,org kampung otak dusun gaya sosoan hype ttep aja gabisa nutupin muka babu lu,bulliying
 cowo foto liatin lidah nya jam ah jijik gue  apa lagi minus akhlak kek gini ,Bullying,cowo foto liatin lidah nya jam ah jijik gue minus akhlak kek gini,bulliying
 anjing gue jg ogah liat muke lu ,Bullying,anjing gue jg ogah liat muke lu,bulliying
 g bole melet dosaa rik ,Non-bullying,g bole melet dosaa rik,non-bulliying
 paan melet melet mau jilat tai tabi  ,Bullying,paan melet melet jilat tai tabi,bulliying
 setan emg melet  teross jijik asuuu ,Bullying,setan emg melet teross jijik asuuu,bulliying
 ni anak lahir krna kondom bocor   ga ada rasa syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll malah di sia in bgsad ,Bullying,ni anak lahir krna kondom bocor ga syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll sia in bgsad,bulliying
 apaan si melet  sok ganteng ,Bullying,si melet sok ganteng,bulliying
 muka kek slangkangan biawak aje bnyk blagu lu ,Bullying,muka kek slangkangan biawak aje bnyk blagu lu,bulliying
 sumpah sih jahat banget  bener  kasian sama kak jessica ,Non-bullying,sumpah sih jahat banget bener kasian kak jessica,non-bulliying
 anjing gk pantes sama bidadari  ,Bullying,anjing gk pantes bidadari,bulliying
 melet mulu setan kaya ular ,Bullying,melet mulu setan kaya ular,bulliying
 njr melet melet gw kirain hewan ,Bullying,njr melet melet gw kirain hewan,bulliying
 gtu aj dh kek anjg lo kang ,Bullying,gtu aj dh kek anjg lo kang,bulliying
 gw kesini pengen liat babang ini   sumpah feeling gw bener   mirip banget ama reynhard sinaga ,Non-bullying,gw kesini pengen liat babang sumpah feeling gw bener banget ama reynhard sinaga,non-bulliying
 ih ko melet  si kaya hewan aja wkwkwkwk ,Bullying,ih ko melet si kaya hewan aja wkwkwkwk,bulliying
 iuu milih iblis drpd bidadarii kwkwkw jyjyq ,Bullying,iuu milih iblis drpd bidadarii kwkwkw jyjyq,bulliying
 melet  udah kaya anjing  eh kan emah anjing ,Bullying,melet udah kaya anjing eh emah anjing,bulliying
 ga nyadar aja nih sampah haha ,Bullying,ga nyadar aja nih sampah haha,bulliying
 lidah banyak kuman and virus nih ,Bullying,lidah kuman and virus nih,bulliying
 awalnya ngira baju endorse dari kfc  mirip     ,Non-bullying,ngira baju endorse kfc,non-bulliying
 gua mau lo terus berkarya   perbaiki  tinggalkan yg negatif   tidak ada kata terlambat   ttp jadi orang yg hebat dan selalu bahagia  xrickolim ,Non-bullying,gua lo berkarya perbaiki tinggalkan yg negatif terlambat ttp orang yg hebat bahagia xrickolim,non-bulliying
 cita cita ingin jadi pakboi   eh tapi malah jadi narkoboy nasib nasib ,Bullying,cita cita pakboi eh narkoboy nasib nasib,bulliying
 napa lu balik dari penjara sih  ,Bullying,napa lu penjara sih,bulliying
 mending lu pada tobat dah ,Non-bullying,mending lu tobat dah,bulliying
 selama dipenjara apalo sikat gigi  kok bau ya  baubau aroma bangsatttt ,Bullying,dipenjara apalo sikat gigi bau ya baubau aroma bangsatttt,bulliying
 gigi lo ada apanya  jigong  atau kondom nya nyangkut  ,Bullying,gigi lo apanya jigong kondom nya nyangkut,bulliying
 ih mukanya kek anjing rumah gwa ,Bullying,ih mukanya kek anjing rumah gwa,bulliying
 woi anak anjing ngapain lu hidup bgst ,Bullying,woi anak anjing ngapain lu hidup bgst,bulliying
 udah jelek gak usah d jelek  in lagi bro ,Bullying,udah jelek gak d jelek in bro,bulliying
 ganteng kagak berbakat juga kagak kelebihannya dimana cobak  ,Bullying,ganteng kagak berbakat kagak kelebihannya dimana cobak,bulliying
 benci aja ama orang jelek pake selingkuh segala ,Bullying,benci aja ama orang jelek pake selingkuh,bulliying
 udah tutup mulut nya bau kambing ,Bullying,udah tutup mulut nya bau kambing,bulliying
 jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah ,Bullying,jualan jualan knp ngga yutuber bro takut ngga yg nntn yah,non-bulliying
 kayak randy pangalila klo gk pake kacamata ,Non-bullying,kayak randy pangalila klo gk pake kacamata,non-bulliying
 entah knp liat muka bg eric sekarang kaya enak gitu    dari pada yg dulu ,Non-bullying,knp liat muka bg eric kaya enak gitu yg,non-bulliying
 apa ganteng nyasih anjing   kucel gini jadiin model ,Bullying,ganteng nyasih anjing kucel gini jadiin model,bulliying
 keknya dia ngeliat masa depan yang hancur deh ,Bullying,keknya ngeliat hancur deh,bulliying
 ingett hidup lo dulu ga seenak ini rikkk  hidup lo susah     salam temen smp pas lo burikkk  eh skrg sama aja ,Bullying,ingett hidup lo ga seenak rikkk hidup lo susah salam temen smp pas lo burikkk eh skrg aja,bulliying
 yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah  oprasi dulu sono  biar gantengan dikit   dan kalo jln ke mall gk di kenal orng  ,Bullying,yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah oprasi sono biar gantengan dikit kalo jln mall gk kenal orng,bulliying
 dia ini siapa sih    artis bukan  jelek mah iya mukanya iyuhhh ,Bullying,sih artis jelek mah iya mukanya iyuhhh,bulliying
 ini bukan era lo lagi  mending lo mati aja babi  kalo baca bales nyet ,Bullying,era lo mending lo mati aja babi kalo baca bales nyet,bulliying
 saya segenap hati minta maap ,Non-bullying,segenap hati maap,bulliying
 dulu bahagia sekarang banyak utang ,Bullying,bahagia utang,bulliying
 harus lebih maju berkelas rik   ga jamannya lg toxic dan ga beraturan   build sistem   you will be big ,Non-bullying,maju berkelas rik ga jamannya lg toxic ga beraturan build sistem you will be big,non-bulliying
 editan sama konsepnya nice banget lahhh ,Non-bullying,editan konsepnya nice banget lahhh,bulliying
 iri kok sama babi hahah najis ,Bullying,iri babi hahah najis,bulliying
 lo yang dulu bukanlah yang sekarang dulu kaya anjing sekarang kaya babi ,Bullying,lo kaya anjing kaya babi,bulliying
 jelek aja tukang selingkuh lo buriq   ,Bullying,jelek aja tukang selingkuh lo buriq,bulliying
 kok kalian komennya pada kek gini ya ,Non-bullying,komennya kek gini ya,bulliying
 rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik  sayang nya lu ngecewain org lain gimana mo masuk surga ,Bullying,rick lu tuh manusia kek gk gunanya lu dilahirin kedunia berbuat sayang nya lu ngecewain org gimana mo masuk surga,bulliying
 kalian kaloga cocok mau di paksain  ,Non-bullying,kaloga cocok paksain,non-bulliying
 ya biarin  xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak kalo udah takdir gaada yang bisa nentang njir ,Non-bullying,ya biarin xrickolim gatau gimana aslinya ambil keputusan kalo udah takdir gaada nentang njir,bulliying
 cocok kok  emang orang baik mah buat org baik  kalo yg bejat mah emang cocok buat yang bejat juga ehehe ,Bullying,cocok emang orang mah org kalo yg bejat mah emang cocok bejat ehehe,bulliying
 erick goblok malah pacaran ama lonte anj so bat ,Bullying,erick goblok pacaran ama lonte anj so bat,bulliying
 cocok banget sama  orang gak bener biar lah dia hancur bersama ,Bullying,cocok banget orang gak bener biar hancur,bulliying
 eh kek ada penampakan lonte ,Bullying,eh kek penampakan lonte,bulliying
 meninggalkan berlian demi tai sapi ,Bullying,meninggalkan berlian tai sapi,bulliying
 ini bukan era lo lgi  wkwkw skrng lo penuh dengan cacimaki  telen ludah sendiri ,Bullying,era lo lgi wkwkw skrng lo penuh cacimaki telen ludah,bulliying
 pantes disini mulainya si ajg berulah ,Bullying,pantes mulainya si ajg berulah,bulliying
 open bo ga bang si listy  kebetulan ada om om yg nyari cwe yg udah pengalaman     ,Bullying,open bo ga bang si listy om om yg nyari cwe yg udah pengalaman,non-bulliying
 buah nangka buah kemanggi gak ada akhlak lu babi ,Bullying,buah nangka buah kemanggi gak akhlak lu babi,bulliying
 perlahan karirmu ancur bro dan lu akan kembali kebawan ,Bullying,perlahan karirmu ancur bro lu kebawan,bulliying
 biarkan  sk  official bangkrut aja  ceo nya gatau trimakasih haha ,Bullying,biarkan sk official bangkrut aja ceo nya gatau trimakasih haha,bulliying
 ngapain juga nginap di rumah cowo  gaada keluarga lg lo  ,Bullying,ngapain nginap rumah cowo gaada keluarga lg lo,bulliying
 eh ada pelakor  pas banget frame ke tiga  orang ke   ,Bullying,eh pelakor pas banget frame orang,bulliying
 anak gblk dikasi berlian malah milih kerikil ,Bullying,anak gblk dikasi berlian milih kerikil,bulliying
 dikasih bidadari malah milih dajjal awokawok v ,Bullying,dikasih bidadari milih dajjal awokawok v,bulliying
 jangan cuman bisa ngehina dong sadar kalian itu ga sempurna sama kaya kami ,Non-bullying,cuman ngehina sadar ga sempurna kaya,non-bulliying
 kesihan gue sama org otak dangkal kek gini ,Bullying,kesihan gue org otak dangkal kek gini,bulliying
 murahh banget lo jijik gue    dikick evos mlah open bo ,Bullying,murahh banget lo jijik gue dikick evos mlah open bo,bulliying
 senengnya sekali nyesel nya seumur hidup  miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing ,Bullying,senengnya nyesel nya seumur hidup miris banget hidup lu tolol meninggalkan berlian indah dipandang sayang segumpal tai kucing,bulliying
 indahnya pemandangan banyak lont lont mau di jual ,Bullying,indahnya pemandangan lont lont jual,bulliying
 bidadari sudah ditunjukan   bahwa mmg g pantes sma dajjal g tau diri ,Bullying,bidadari ditunjukan mmg g pantes sma dajjal g tau,bulliying
 siapapun tolong kasih tau aku ini masalah nya apaa gais ,Non-bullying,tolong kasih tau nya apaa gais,non-bulliying
 dikasih hati yg malaikat milih yg berhati iblis greget   ,Bullying,dikasih hati yg malaikat milih yg berhati iblis greget,bulliying
 di kasih bidadari malah pilih kotoran ,Bullying,kasih bidadari pilih kotoran,bulliying
 dikasih bidadari malah minta lonte ,Bullying,dikasih bidadari lonte,bulliying
 gajadi beli model murahan barang pasti murahan ,Bullying,gajadi beli model murahan barang murahan,bulliying
 modelny aja murahan apalagi barangnya ,Bullying,modelny aja murahan barangnya,bulliying
 muka macem pengamen gegayaan selingkuh  untung udh ga sm jane lg  kebanting sm jane muke lu ,Bullying,muka macem pengamen gegayaan selingkuh untung udh ga sm jane lg kebanting sm jane muke lu,bulliying
 males beli gua gara gara ada lonte ,Bullying,males beli gua gara gara lonte,bulliying
 padahal bulug gini ya mukanya   ehh   maaf   ,Bullying,bulug gini ya mukanya ehh maaf,bulliying
 padahal cantikan jessica kemana mana ,Non-bullying,cantikan jessica kemana,non-bulliying
 dikasih bidadari malah milih sampah ,Bullying,dikasih bidadari milih sampah,bulliying
 yaelah muka pas an aja bangga lu njing ,Bullying,yaelah muka pas an aja bangga lu njing,bulliying
 wah ibarat lebih milih iblis daripada bidadari haha ,Bullying,milih iblis bidadari haha,bulliying
  rangga kanahaya knp gk truck sampah  kek mukanya sampah ,Bullying,rangga kanahaya knp gk truck sampah kek mukanya sampah,bulliying
 gajadi beli  takut ketularan lonte nya ,Bullying,gajadi beli takut ketularan lonte nya,bulliying
 hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot   di hujat memang dunia sgt kejam ,Non-bullying,hujatan klean kasian si listy kontrak nya d copot hujat dunia sgt kejam,non-bulliying
 jangan beli baju lonte entar kena sial ,Bullying,beli baju lonte entar kena sial,bulliying
 dasar cewe lo itu lonte tau kau  ,Bullying,dasar cewe lo lonte tau kau,bulliying
 disini pada kenapa dah  aku gapaham tolong ,Non-bullying,dah gapaham tolong,non-bulliying
 itu ditengah manusia apa monyet kok kulitnya bercorak batik ,Bullying,ditengah manusia monyet kulitnya bercorak batik,bulliying
 muka lu sama anjing gwe  lebih ganteng anjing gwe rik ,Bullying,muka lu anjing gwe ganteng anjing gwe rik,bulliying
 buat kalian para pens lonte jgn tkut listi miskin krna dipecat  krna dia bsa kaya lgi  dgn cara ya nglonte ,Bullying,pens lonte jgn tkut listi miskin krna dipecat krna bsa kaya lgi dgn ya nglonte,bulliying
 etdah ninggalin yang baik demi lonte  situ waras mas wkwk ,Bullying,etdah ninggalin lonte situ waras mas wkwk,bulliying
 gw melihat cewek murahan di postingan ini ,Bullying,gw cewek murahan postingan,bulliying
 yang kedua dari sebelah kanan itu batik apa orang dah  kok warna nya kek taek babi si  ,Bullying,sebelah kanan batik orang dah warna nya kek taek babi si,bulliying
 ih ko muka jelek banget siii serem kek setan ,Bullying,ih ko muka jelek banget siii serem kek setan,bulliying
 itu yang foto ketiga jablay murahan bukan  ,Bullying,foto ketiga jablay murahan,bulliying
