Komentar,Kategori
 lo yang dulu bukanlah yang sekarang dulu kaya anjing sekarang kaya babi ,Bullying
 jelek aja tukang selingkuh lo buriq   ,Bullying
 kok kalian komennya pada kek gini ya ,Non-bullying
 rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik  sayang nya lu ngecewain org lain gimana mo masuk surga ,Bullying
 kalian kaloga cocok mau di paksain  ,Non-bullying
 ya biarin  xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak kalo udah takdir gaada yang bisa nentang njir ,Non-bullying
 cocok kok  emang orang baik mah buat org baik  kalo yg bejat mah emang cocok buat yang bejat juga ehehe ,Bullying
 erick goblok malah pacaran ama lonte anj so bat ,Bullying
 cocok banget sama  orang gak bener biar lah dia hancur bersama ,Bullying
 eh kek ada penampakan lonte ,Bullying
 meninggalkan berlian demi tai sapi ,Bullying
 ini bukan era lo lgi  wkwkw skrng lo penuh dengan cacimaki  telen ludah sendiri ,Bullying
 pantes disini mulainya si ajg berulah ,Bullying
 open bo ga bang si listy  kebetulan ada om om yg nyari cwe yg udah pengalaman     ,Bullying
 buah nangka buah kemanggi gak ada akhlak lu babi ,Bullying
 perlahan karirmu ancur bro dan lu akan kembali kebawan ,Bullying
 biarkan  sk  official bangkrut aja  ceo nya gatau trimakasih haha ,Bullying
 ngapain juga nginap di rumah cowo  gaada keluarga lg lo  ,Bullying
 eh ada pelakor  pas banget frame ke tiga  orang ke   ,Bullying
 anak gblk dikasi berlian malah milih kerikil ,Bullying
 dikasih bidadari malah milih dajjal awokawok v ,Bullying
 jangan cuman bisa ngehina dong sadar kalian itu ga sempurna sama kaya kami ,Non-bullying
 kesihan gue sama org otak dangkal kek gini ,Bullying
 murahh banget lo jijik gue    dikick evos mlah open bo ,Bullying
 senengnya sekali nyesel nya seumur hidup  miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing ,Bullying
 indahnya pemandangan banyak lont lont mau di jual ,Bullying
 bidadari sudah ditunjukan   bahwa mmg g pantes sma dajjal g tau diri ,Bullying
 siapapun tolong kasih tau aku ini masalah nya apaa gais ,Non-bullying
 dikasih hati yg malaikat milih yg berhati iblis greget   ,Bullying
 di kasih bidadari malah pilih kotoran ,Bullying
 dikasih bidadari malah minta lonte ,Bullying
 gajadi beli model murahan barang pasti murahan ,Bullying
 modelny aja murahan apalagi barangnya ,Bullying
 muka macem pengamen gegayaan selingkuh  untung udh ga sm jane lg  kebanting sm jane muke lu ,Bullying
 males beli gua gara gara ada lonte ,Bullying
 padahal bulug gini ya mukanya   ehh   maaf   ,Bullying
 padahal cantikan jessica kemana mana ,Non-bullying
 dikasih bidadari malah milih sampah ,Bullying
 yaelah muka pas an aja bangga lu njing ,Bullying
 wah ibarat lebih milih iblis daripada bidadari haha ,Bullying
  rangga kanahaya knp gk truck sampah  kek mukanya sampah ,Bullying
 gajadi beli  takut ketularan lonte nya ,Bullying
 hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot   di hujat memang dunia sgt kejam ,Non-bullying
 jangan beli baju lonte entar kena sial ,Bullying
 dasar cewe lo itu lonte tau kau  ,Bullying
 disini pada kenapa dah  aku gapaham tolong ,Non-bullying
 itu ditengah manusia apa monyet kok kulitnya bercorak batik ,Bullying
 muka lu sama anjing gwe  lebih ganteng anjing gwe rik ,Bullying
 buat kalian para pens lonte jgn tkut listi miskin krna dipecat  krna dia bsa kaya lgi  dgn cara ya nglonte ,Bullying
 etdah ninggalin yang baik demi lonte  situ waras mas wkwk ,Bullying
 gw melihat cewek murahan di postingan ini ,Bullying
 yang kedua dari sebelah kanan itu batik apa orang dah  kok warna nya kek taek babi si  ,Bullying
 ih ko muka jelek banget siii serem kek setan ,Bullying
 itu yang foto ketiga jablay murahan bukan  ,Bullying
 jelek aja tukang selingkuh lo buriq      ,Bullying
 emang kalian se suci apa sampai nghina dia segitu nya ,Non-bullying
 mending yang follow pada unfollow udeh gausah ribet ,Non-bullying
 dekil tatoan  mampus karir lo hancurr pantek ,Bullying
 udah ada berlian malah milih batu nisan ,Bullying
 alasan setan ama setan  karna kalo setan sama bidadari  sayapnya rontok  diceker  digigit  dijambak  ,Bullying
 lagian juga erick gak ada akhlak jelek lagi listy juga jelek ,Bullying
 setan ma setan mahh emg cocokk udee ,Bullying
 lonte kurus pucet kek mayat hidup ,Bullying
 itu muka apa tutup panci wkwkekek jelek nya ampe ke ubun ubun ,Bullying
  xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik gbu keepstrong ,Non-bullying
 bego anak orang udah ga perawan noh gara  lu wkwkw ,Bullying
 frustasi  sudah habis uangnya  kasihannn ,Bullying
 bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras ,Non-bullying
 semangat rick untuk usaha barunya ,Non-bullying
 hadehh muka kaya tong sampah   ,Bullying
 banyak banget omongan kasar disini  tobat lah kawan kawan   cukup comment kasar nya ,Non-bullying
 ni org jelek ga ada obat kok jj mau liat apa ya   ,Bullying
 semangat bang  walaupun banyak orang yang ngejudge lu  jangan peduliin mereka ,Non-bullying
 tuhan yesus baik semangat rick ,Non-bullying
 jangan di bales komen hate bang bikin sakit jempol  mending lanjut berkarya   ,Non-bullying
 eh lo nyadar ga   udah dekil terus tatoan  jadi nya kaya daki haha ,Bullying
 jelek dapet selingkuhan jelek juga keren yaa imbang wkkw ,Bullying
 wah ngehina fisik ni orang ga bener ya wkwkwkwk ,Non-bullying
 bunuh diri lah sono goblox ,Bullying
 sabar semua komentar ini ujian ,Non-bullying
 santai rick yg ngehujat lo belom tau perjalanan hidup lo aja  mereka hanya sok suci  ,Non-bullying
 yang sabar yah tetep semangat ngejar karirnya jangan dengerin kata orang mereka cuma bisa ngebacot di komen doank ,Non-bullying
 erick masuk neraka jalur selingkuh bos ,Bullying
 trs berkarya walaupun brd di titik sprti ini ,Non-bullying
 stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada ,Non-bullying
 yang ngatain keknya idupnya gapernag bikin kesalahan ,Non-bullying
 jadi gila kau rupanya karna gak laku lagi di youtube ,Bullying
 kasian yah sdh stress banyak masalah ,Bullying
 kok jatohnya malah kek ajg sih rikkk ,Bullying
 karir turun jadi autis kasian hahah ,Bullying
 erick yang kek gini yang gua kangenin  keep it up bruuh ,Non-bullying
 udah mau autis iya bg awokawkk ,Bullying
 kasian masih muda udah stresss ,Bullying
 banyak komen yg support malah ketutup yg hate bgst emang ig ,Non-bullying
 maudy cantik na natural bnr  cantik bgt  cantik luar dlm ,Non-bullying
 bikin konten youtube student life at standford  maudyayunda seperti waktu s  at oxford  fansmu pada nungguin nih  ,Non-bullying
 aura org pinter emg shining ya bun  hy dindut ,Non-bullying
 paket lengkap deh   udh cantik pintar lagi ,Non-bullying
 sukaa bnget sm artis ini  nggak neko    dan natural bngett ,Non-bullying
 cantik  pintar bertalenta  ortu mana yg gak kepengen punya anak kyk mba maudy ,Non-bullying
 idih mak lampir  dibanding uya ma lu  lu bagaikan butiran debu   lu dikenal karena bacot  rajin  ngaca deh ,Bullying
 anjirlah muka lo kek kuntilanak malah sok cantik ,Bullying
 mbak cadel yg bangga dengan cadelnya   harusnya sih kasihan karna cadel tapi lama  jadi jijik kenapa gak sekalian bisu aja ,Bullying
 uda pinter  cantik gak kebanyakan tingkah  perfect ,Non-bullying
 hati hati mody jangan keluar sendirian jaga jaga serangan brutal rasisme  wajahmu sekilas mirip onnie  korea  tetap waspada ,Non-bullying
 bikin konten youtube daily activity di stanford dong kak  maudyayunda ,Non-bullying
 motivasi ku ka maudy cantipp bngt ,Non-bullying
 semoga kecerdasan mbak maudy bermanfaat bagi agama  nusa  dan bangsa   aamiin ,Non-bullying
 damage nya cewek pinter gada lawann ,Non-bullying
 cantikan waktu berisi dulu  sekarang kurus bgt  kurus begini auranya kurang ,Bullying
 cantik sih  tapi sayang kurus ya  padahl udh nikah lo  kurang bahagia sama pernikahannya  ,Bullying
 masih good vibes walaupun sedang lapar ,Non-bullying
 kakak cantik bgt bismillah cerdasnya nular ,Non-bullying
 bego lu  alam semesta dan seisinya pun serentak murka mendengarkan lagumu ,Bullying
 dua  nya cantik banget masya allah ,Non-bullying
 ka nisa mirip ariana grande masa ,Non-bullying
 adiknya kak maudy  cantik  pinter  aura positifnya keluar  ramah  lemah lembut  rajin  sholeha ,Non-bullying
 sekilas yg abu mirip ariana grande haha ,Non-bullying
 yang satu nya mirip ariana grande ,Non-bullying
 kakak sama adek sama sama cantik ya aku suka sama dua duanya ,Non-bullying
 rambutnya kak modd bagussss  item berkilauu ,Non-bullying
 cantik semua congrats kak msuk nominsi tc candler ,Non-bullying
 maudy enak bet dah cantik iya pinter iya ,Non-bullying
 kukira dedeknya berdiri itu mau mukul bang jer pake ukulele  ternyata aku salah salah    ,Non-bullying
 bang jerome klo nyanyiny kek gini bagus suaranya ganyangkaaa ,Non-bullying
 sutan kamu sangat lucu dan menggemaskan ,Non-bullying
 bang sering sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom ,Non-bullying
 klu  jeromepoline buat video tapi berdua aja seharian sama anak kecil  hahah lucu juga gimana riwehnya ,Non-bullying
 muka lu kok cabul banget sih bg hahah ,Bullying
 dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak ,Bullying
 kak jerome kayak boneka tau hahah ,Non-bullying
 mukbang makanan sehat dong kak  salad jepang gituuu  ,Non-bullying
 yakinin dulu niatnya bg  semoga sukses ,Non-bullying
 bang  aku nonton kamu setelah aku kerja di jepang  bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di jepang ,Non-bullying
 cuman rumus diet ini yg ga bisa dipecahka ya bang  ,Non-bullying
 perut makin maju tpi semangat jangan tak maju ,Non-bullying
 pantesan kak jessica bilang bang jerom beruang wkwkwk ,Non-bullying
 aduhh susah klo urusan sma jerome rumus matematika terus bahasannya  apakah daya diriku yg lebih suka bhs inggris drpd matematika ,Non-bullying
 kaya tulus ya mukanya klo diliat  ,Non-bullying
 kak jerome  bagi trik biar bisa paham dan ingat cepat rumus matematika  dung   ,Non-bullying
 baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha ,Non-bullying
 sumpah si kak  kemeja jeans bikin keliatan seger bgt mantap mantap ,Non-bullying
 mirip ama aktor korea yg main di film reply      yg jadi kaka nya jung hwan wkwk ,Non-bullying
 iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul ,Non-bullying
 klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur ,Non-bullying
 kok makin dewasa makin imutt aih cipaaaaaa ,Non-bullying
 maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa ,Non-bullying
 nih orang manis bnget sihh ga ngerti lagi ,Non-bullying
 kakak pinter nyanyi ya  syifahadjureal  suaranya bagus kak ,Non-bullying
 gk salah kalo kak syifa cantik mamahnya aja cantik bgtt   jujurr ,Non-bullying
 lelaki yg mendapatkan km  adalah lelaki yg beruntung  ,Non-bullying
 kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu ,Non-bullying
 kakak udah cantik sii  tapi cantikan lagi kalo pake hijab ,Non-bullying
 gemeshh rasanya kaya aku pengen cubit ,Non-bullying
  angelkmgi ini paling cute sih  ganteng parah msh kecil jg ,Non-bullying
 pengen gw pacul mulut lo   woii anjeng busuk ,Bullying
 sering blg ke org  artis cewek yg menurutku paling cantik syifa sama ziu ,Non-bullying
 ka cipa tu uda cantik  baik  manis bgt pula  manisnya tu nglebihin gula ,Non-bullying
 dilihat sekilas pun tampak jelas kalau cantikkan syifa ,Non-bullying
 setuju g sih  si dia tetep cntik bgt meski g pke make up  lah aku g pke make up pucet bgt kyk g makan setahunn ,Non-bullying
 dahlahh emang cantik luar dalam kmu ini cippp ,Non-bullying
 muka cantik tanpa make up hini  bahagia bgt kali ya yg jadi suaminya  bisa liat bidadari setiap harinya  ,Non-bullying
 suka bgtt sm kak cipaa   orangnya humble sm semua orang dan banyak temannya juga ,Non-bullying
 artis remaja di indonesia yg manis bgt kalo senyum cuma dia deh perasaan yg nempel di hati ,Non-bullying
 aku doakan perempuan baik yg bernama nagita selalu sehat  bahagia lahir batin  dan banyak yang sayang sm dia   ,Non-bullying
 rafathar nya mantull ni  pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg   jd jagain dan temenin mama dulu  ya aa ,Non-bullying
 kultur kerja kaya gini menurut gw bagus si ga kapitalis banget  petingginya juga ikut kerja misal ngevlog atau endors  semoga gaji juga ga senjang si haha ,Non-bullying
 pantas pada senang kerja di rans   mbak gigi nggak ngebossy   ,Non-bullying
 seneng yaa lihat orang sukses meeting  ya allah pengen sukses kayak gitu biar ada status di instastory ,Non-bullying
 smga semua kelg dan crew sehat semua   dan rejeki trs lancar ya kak gigi   ,Non-bullying
 fokus ke nagita pas mau minum masih sempet baca doa  keren bgt hasil dari didikan orang tua nya ,Non-bullying
 kasihan ya   nagita punya suami kerjaannya berzinah terus ,Bullying
 koreaable banget face rafathar cakep ganteng manis banget ,Non-bullying
 masyaallah rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny  ,Non-bullying
 kok mirip siwon ya lama   apa perasaan gw aja  ,Non-bullying
 lucunya berasa kayak kaka dan adek ,Non-bullying
 itu wajah nagita kya masih umur   an ,Non-bullying
 foto no edit edit ya saayy kamera nyaa bening    model fotonya pun juga bening gak perlu pakai filter tipu tipu ,Non-bullying
 look nya rafathar emang gak bisa dipungkiri  diborong gen mama gigi semua haha  ,Non-bullying
 nagita masa kaya anak muda coba cantikk bangeett ,Non-bullying
 masyaallah mamany cantik anakny ganteng  perfect ,Non-bullying
 kaya adek kakak   kak gigi keliatan muda banget ,Non-bullying
 tambah gede aja rafathar ya tambah pinter ya rafathar ,Non-bullying
 mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda ,Non-bullying
 ootd mama gigi simple tapi elegan dilihat nya  masyaallah ,Non-bullying
 masyaallah mamah gigi bening bet dah  sehat selalu mamah gigi dn keluarga ,Non-bullying
 mama gigi ketemu gajah  gajahnya seneng sampai ketawa gitu ahhaha  ,Non-bullying
 ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep ,Non-bullying
 i see beauty in everything mba gigi sehat selalu sama dede bayi nya ,Non-bullying
 mama gigi cantik banget  look younger than her age   love mama gigi ,Non-bullying
 semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas ,Non-bullying
 pakaian apapun yg dipake mama gigi selalu keceee ,Non-bullying
 terima kasih kak nagita  raffinagita     sudah support molly si gajah dan satwa satwa di bali zoo lainnya dengan kunjungannya bersama keluarga ,Non-bullying
 kaya ny gajahnya merasakan aura positif nya mb gigi itu  kelihatan sumringah jg gajahnya loo   ,Non-bullying
 manis banget mbak gigi   masya allah   hamil semakin bersinar   ,Non-bullying
 mama gigi gapernah ga cantik sih kalo menurut aku  ,Non-bullying
 semoga sehat selalu bayi dalam kandungan nya sama ibunya ya  ,Non-bullying
 cantik banget semoga sehat selalu kakak panutan ,Non-bullying
 masyaallah selalu mempesona baik kaum adam maupun kaum hawa ,Non-bullying
 gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya ,Non-bullying
 makin tua makin muda yehh mukanya  mana cantik bngett mo nangiss ampun cantik terus ka yaya ,Non-bullying
 gapaham lagi cakeup nya natural masyaallah ,Non-bullying
 raisa mah tipe cantik tapi sopan santun pakaiannya ,Non-bullying
 ka yayaaa  why are you always stunning pretty girl  ,Non-bullying
 ya allah ni orang apa peri  cantik amatt ,Non-bullying
 kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik ,Non-bullying
 bisa berhenti cakep ga kakk  pusingggg ih ,Non-bullying
 cantik bajunya keren warnanya bikin pangling ,Non-bullying
 sudah dongggg dan sudah di liked juga   congratulations ,Non-bullying
 udaaaahh nontonnnnn   lagunya bajunya makeup dan hairdo nyaaa sukaakkkk ,Non-bullying
 raisa sekarang ngak monoton   jadi suka deh   sering  kek gini   ,Non-bullying
 udah dong  lagi ngunyah aja cute banget ,Non-bullying
 penyihir secantik ini gue rela dikutuk jadi tokek laut ,Non-bullying
 ya ampun kak makan apa sih kok bisa cantik banget ,Non-bullying
 ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu  gemes hahaha ,Non-bullying
 aku udah  dan sumpah bagus banget  serasa liat cerita disney gitu ,Non-bullying
 lu lebih gak sopan  mukak lu kayak babi  ,Bullying
 ya allah kenapa begitu sempurna sih ciptaanmu yg satu in ,Non-bullying
 ragu aja cantiknya udh kek gini  gmn kl yakin yak  cantiknya kek apa  heran ,Non-bullying
 bukan keliatan ragu  tapi keliatan cantik ,Non-bullying
 warna yang paling bikin raisa makin shinning itu merah  hitam  putih  pink and emerald ,Non-bullying
 raisa pake baju merah sumpahh cantik bgttt ,Non-bullying
 liriknya pendek tp susah di hafal pas awal awal  begitu di puter beberapa kali eh kok candu banget ,Non-bullying
 demi apa  kak yaya gk pernah ngeraguin para pendengar lagu  nya ,Non-bullying
 ka yaya kalo ragu tetep secantik itu yah     ,Non-bullying
 ragu aja cantik kan kak  apalagi kalau serius ,Non-bullying
 ngga alay  ngga muluk muluk  natural  sukaaaa,Non-bullying
 seru bgt gemoy  tim berkebun plus tim alam bgt niiii ,Non-bullying
 nikmatnya bisa menghirup oksigen dengan bebas ya    ,Non-bullying
 slide kedua mukanya mau gaya apa aja tetep cantikk ,Non-bullying
 mba isyana foto gelap an gini aja aesthetic bgt ya ,Non-bullying
 mba isyana udah cantik suaranya bagus kompeten pula  ah sukaaaa ,Non-bullying
 ga taulah aku juga suka banget sama gayanya isyan ,Non-bullying
 kangen nonton konser isyan secara lgsg  meskipun msh bisa virtual  cuma experience nya lebih dapat aja gitu ,Non-bullying
 congrats ka  isyanasarasvati  terus berkarya  makin sukses  dan terus mnjd inpirasi kita semua  ,Non-bullying
 congrats kak  kamu memang pantes mendapatkannya ,Non-bullying
 saya berharap kak  isyanasarasvati panjang umur  sehingga bisa jadi inspirasi untuk musisi seluruh indonesia  saya suka musik indonesia dengan adanya kak isyana ,Non-bullying
 udah cantik  rada gesrek tapi ya ini banyak kelebihannya  semangat tetap produktif ,Non-bullying
 gatau lagi  serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan  selalu keren dan pecah  tak pernah sekalipun mengecewakan ,Non-bullying
 walaupun ga pernah lihat ka isyana live beneran di panggung  tp aku terpesona bgt ama live virtual asli keren ,Non-bullying
 yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt ,Non-bullying
 keren banget    walaupun sebentar tapi mantap abis  ditunggu karya selanjutnya ya kak  stay safe and healthy isyana ku ,Non-bullying
 makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa ,Non-bullying
 thank you juga  syan  seneng banget kemarin haha  semoga setelah pandemi ini  semua rencana dilancarkan ya  syan  ,Non-bullying
 hua seneng bgt kmrn walaupun cuma    menitan tp seneng liat isyan  adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya  ditunggu karya selanjutnya kaka ,Non-bullying
 senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya   diapresiasi oleh banyak orang  ,Non-bullying
 berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri  biar musik indonesia lebih berwarna ,Non-bullying
 congrats kak isyan semoga semua impian impian baiknya segera bisa terwujud aamiin ,Non-bullying
 bener bener idola  dr musisi yang dipandang sebelah mata sampe buat label musik sendiri  congrats syan ,Non-bullying
 congrats kak isyan semoga karya nya apa yg dilakukan kakak sukses teruss ,Non-bullying
 orang ini terlihat sangat sangat stres dan gila ,Bullying
 gua kalai jadi tuhan gaakan gua jadiin dia ini manusia  lebih pante ga hidup ini orang di dunia  akhlaknya gaada tolol bangsat ,Bullying
 biasa nya aq nangis kalo lagu nya seiihh  kalo sekarang nangis karna saking bagus nya lagu nya ,Non-bullying
 definisi minat ketemu bakat ketemu kerja keras ,Non-bullying
  vnagstn astaga si isyana keren banget ini  bisa ada musisi lokal yang selera musiknya kayak gini ,Non-bullying
 mashaallah  udh cantik  pinter  jago nyanyi dn mainin alat musik pula neng  isyanasarasvati ngefans bener ini mah ,Non-bullying
 gilaaaa   gila   gilaaaa tangan  kaki  ekspresi  n emosi tertuang adi suatu karya yg fantastis ,Non-bullying
 gosh  tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda  merinding gila  kaya kepribadiannya jadi serius bangett ,Non-bullying
 sumpah demi allah bagus bangett kereennn merinding ak nya   dengerin sampe abis tiba  aja ampe netesin air mata ,Non-bullying
 aku memutuskan untuk menjadi fans isyana  gila keren banget ya  otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki  di waktu bersamaan ,Non-bullying
 amzing isyanaa   jujur aku amazed banget dengan skill dan minat isyana dalam bermusik  ga cuma bernyanyi tapi main alat musik pun jago banget ,Non-bullying
 paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri ,Non-bullying
 sampe ga bisa berkata  lagi buat isyana  sangat  sempurna org ini ,Non-bullying
 inimah bukan main alat musik lagi  olahraga jari dan kaki ini mah ,Non-bullying
