sentimen,tweet,clean_tweet
-1,untuk kawan kawan aku yang hisap rokok tu aku sayang korang kalau boleh berhenti ye guys mungkin bukan sekarang kena ,kawan kawan hisap rokok tu sayang korang henti ye guys kena
0,diorean aku update ,diorean update
1,mu gemes banget adminnya aku ga jadi marah ,mu gemes banget adminnya ga marah
-1,nggak butuh alesan aku bisa bicara apa aja sama kamu nyaman,nggak butuh alesan bicara aja nyaman
-1,kuat sangat hantu kat rumah aku ni ,kuat hantu kat rumah ni
-1,aku bukan orang kelantan but sometimes muak jugak aku dengan tweet macam ni be more specific la mention orang tu better ca ,orang lantan but sometimes muak jugak tweet ni be more specific la mention orang tu better ca
1,karna sekarang aku lagi ulang tahun dan besok hari enip nya ikon aku bakal adain ga pulsa 10k untuk 2 orang cukup aj ,karna ulang besok enip nya ikon adain ga pulsa k orang aj
-1,saat kamu jauh aku jatuh pelaminanhujan ,jatuh pelaminanhujan
0,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt ,dara pergi kenduri kahwin lepas tu ramai orang lepas tu risau duduk htt
0,mfs folowan rt ja ntar aku folow follback tpi,mfs folowan rt ja ntar folow follback tpi
-1,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi ,suami nasihat forward gambar ni isteri forward
0,ni nak femes je sebenarnya ,ni nak femes je
1,kalo aku yg menang jajanin ya wkwk ,kalo yg menang jajanin ya wkwk
0,dear temen tolong lah ya setiap gue yang fotoin kalian hasilnya pada cakep elok cantik dan sedap dipandangedangkan gil ,dear temen tolong ya gue fotoin hasil cakep elok cantik sedap dipandangedangkan gil
1,aku pernah gak buat gini tapi apesal tak baik baik jugak hahahahawau,gak gin apesal jugak hahahahawau
1,seseorang yang berarti tak akan dengan mudah kamu miliki jika kamu sungguh mencintai jangan pernah berhenti berusaha untuk hati ,mudah milik sungguh cinta henti usaha hati
0,thread aku manaaa,thread manaaa
0,selain aku siapa jugak macam niet brightness fon paling lowest tapi still rasa masih terang kita geng ,jugak niet brightness fon lowest still terang geng
0,haih stop it la gais idk knp korang ni minat sangat sebar khabar angin pasal aku ,haih stop it la gais idk knp korang ni minat sebar khabar angin pasal
1,kalau itu mah aku juga ngerti atuh ,mah ngerti atuh
0,loh kan aku emang taken sama kamu ,loh emang taken
0,aku tu disebelah jadi dawon udah lama sih tapi semi ,tu belah dawon udah sih semi
0,tls followan ama aku yukk rep rt kita temenan,tls followan ama yukk rep rt temenan
-1,nampak reaction muka aku lain macam please jangan tegur takut kemurungan seharian,nampak reaction muka please tegur takut murung hari
0,ada yang lebih besar dari punya suami aku ,suami
-1,bukan aku ni feminism ke ape cume pelik bila lelaki tegur perempuan tapi still dorng punye masih tak terjaga ki ,ni feminism ape cume pelik lelaki tegur perempuan still dorng punye jaga ki
0,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara ,amin ustazah pening kepala me takpelah awak tulis je awak laratampai suruh hantar buku tara
-1,bodo amat aku mah kak tik wkwkwk,bodo mah kak tik wkwkwk
1,kehidupan adalah 10 yang terjadi pada dirimu dan 90 sisanya adalah bagaimana kamu menghadapinya,hidup diri sisa hadap
0,mana yg bilang toge seribu ama cabe 2rb dpt banyak hah mana mau aku unyeng2 mulutnya pake cabe tuh liat toge seri ,yg bilang toge ribu ama cabe rb dpt hah unyeng mulut pake cabe tuh liat toge seri
1,ho meta aku ws mg ahhahahah,ho meta ws mg ahhahahah
0,boleh dikatakan kawan abang aku tiap2 minggu kawan dia kahwen ,kawan abang minggu kawan kahwen
0,albums dong bantuin aku buk waduh waduh,albums bantuin buk
0,nctea selama ini aku cuma tau fotonya jisung aja yg disini dan sekarang udah tau video nya mission complete https ,nctea tau foto jisung aja yg udah tau video nya mission complete
-1,when u so fuckin bored with u're life pgn ndlosor ndlosor aku,when u so fuckin bored with u re life pgn ndlosor ndlosor
-1,aku selalu berkorban dan rela mengorbankan perasaan demi kamu tapiemua ga ada artinya dimata kamu  ,korban rela korban asa tapiemua ga mata
0,karena warisan dari orang tua kenapa ga pindah meski itu cuma warisan meskipun aku belum terlalu alim masih ,waris orang tua ga pindah waris alim
1,kamu dulu hehe,hehe
0,bnyk pe views tk credits nmpk baru prasan ni vid padahal yg amek bukan de aku yg amek ,bnyk pe views tk credits nmpk prasan ni vid yg amek de yg amek
0,iyaa aku udah ngepost banyak tp blm dapet yg riku ,iyaa udah ngepost tp blm dapet yg riku
-1,kamu nyindir aku yha hahaha yang aku anggep temen tuh dikit tapi kenalanku banyak gatau ya semakin dewasa circ ,nyindir yha hahaha anggep temen tuh dikit kenal gatau ya dewasa circ
-1,bodo betul aku terhibur bodo ada member ceni ,bodo hibur bodo member ceni
0,aku bengang lah dgn mi org tengah tak sihat la dia nak cari pasal,bengang dgn mi org sihat la nak cari pasal
1,aku tahu didepanku banyak halangan dan rintangan tapi aku tak akan berhenti dan menyerah ,depan halang rintang henti serah
1,nasib baik akak aku normal ,nasib akak normal
0,give away karena aku baru aja ngajuin perbaikan tiket karena kesalahan nama di tiket pesawat jadi aku mau adain give ,give away aja ngajuin baik tiket salah nama tiket pesawat adain give
0,setia ngga sama ongniel masih aja nanya kayak gini nggak aku mau bubarin ongniel aku mau rebut ong dari danie ,setia ngga ongniel aja nanya kayak gin nggak bubarin ongniel rebut ong danie
0,saat kita pertama bertemu aku tidak tau jika kamu akan menjadi hal yg penting bagi ku,temu tau yg ku
-1,aku suka kaler ni tapi kalau aku pakai dah boleh agak dah buruk nya macam mana ,suka kaler ni pakai dah dah buruk nya
1,hahahaha kamu ya klo ada ice cream nyium aja deh besok aja ya imo jemput mau klo hari ini imo mau pacaran dulu ,hahahaha ya klo ice cream nyium aja deh besok aja ya imo jemput klo imo pacar
0,beneran nih ntar coba aku tanya g o managernya,beneran nih ntar coba g o managernya
1,lah kan emang cantik dek masa iya ganteng kalo kamu ganteng trs gua apaan dek ,emang cantik dek iya ganteng kalo ganteng trs gua dek
0,redbus nie mmg fakof teruk eh dua kali aku guna dua dua kali tak leh pakai book seat lain dpt seat lain ,redbus nie mmg fakof teruk eh kali kali leh pakai book seat dpt seat
1,wow aku salute org yg ada kesabaran yg tinggi niiiii huhuhu,wow salute org yg sabar yg niiiii huhuhu
-1,hehe kenapa gitu takut aku pingsan tibatiba ya g,hehe gitu takut pingsan tibatiba ya g
-1,sampai sekarang do aku tertanya tanya apa faedahnya kita belajar tiup recorder masa sekolah rendah dulu ,do tanya faedah ajar tiup recorder sekolah rendah
1,kalo di surabaya liat cece cece ngomong kayak anak jaksel tapi logat e suroboyo gyettt be like lah ya ntik gua pick up ,kalo surabaya liat cece cece ngomong kayak anak jaksel logat e suroboyo gyettt be like ya ntik gua pick up
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,sungguh nak jaga je henti pura jaga paksa kau kau perl
1,ehh nakk haha aku kdg ngam2 cantik kdg tu ter jauh plak smpai kene bukak seatbelt nak hulur keluar haha ,ehh nakk haha kdg ngam cantik kdg tu ter plak smpai kene bukak seatbelt nak hulur haha
1,jangan terburu buru mengartikan segala yang baru kamu lihat dari permukaan segala yang tampak belum tentu sesuai letak 9996,buru buru arti lihat muka sesuai letak
0,lucu do tadi kak cafe asal mana dik mearawak kak k cafe org mana me kuching kak k cafe ohhh org bandar ,lucu do kak cafe dik mearawak kak k cafe org me kuching kak k cafe ohhh org bandar
0,ditanya 'kamu kenapa kalau ada masalah ayo selesain baik baik kalau aku ada salah bilang kalo kamu puny ,ayo selesain salah bilang kalo puny
0,pernah ada pengalaman ni punya la kumpul duit sebab dia ada financial problem sume bil ,alam ni la kumpul duit financial problem sume bil
0,duduk aku disini diatas kursi dari kayu pena kupegang ditangan kanan dan kertas putih diatas meja,duduk atas kursi kayu pena pegang tang kanan kertas putih atas meja
-1,salah satu thread yang menyusah dan menyemakkan kepala orang banyak betul pause kau ,salah thread susah semak kepala orang pause kau
1,tls followan ama aku yukk rep rt kita temenan,tls followan ama yukk rep rt temenan
0,pernah jadi guru tamu did elite diby barat nunjukin foto jl uripumoharjo me ada yang ,guru tamu did elite diby barat nunjukin foto jl uripumoharjo me
0,sejak kejadian tersebut aku jadi ok teruk,jadi ok teruk
-1,me everytime my bf tell me that i'm pretty apaan sih woy najis begitu dibilang cantik jangan gt ak ,me everytime my bf tell me that i m pretty sih woy najis bilang cantik gt ak
0,crush aku di straykids ,crush straykids
1,tuhan memang mentakdirkan kita untuk saling berjauhan tetapi aku yakin tuhan memiliki rencana besar dibalik itu semua,tuhan takdir jauh tuhan milik rencana balik
0,temen temen yg ada di mineral town dan sekitarnya bisa tolong dibeli ya dagangan bapak ini beliau sudah sakit sakitan tapi ,temen temen yg mineral town tolong beli ya dagang beliau sakit sakit
-1,ex aku dulu bukak wallet aku amek duit pastu buat muka comel baby amek sikit eaaaa ,ex bukak wallet amek duit pastu muka comel baby amek sikit eaaaa
0,yatapi kalau ga ada bapak negara aku ga kebayang sih gimana aku bisa lewatin usia 25 ke atas dengan baik baik saja ,yatapi ga negara ga bayang sih gimana lewatin usia
0,aku teringat bapak aku prnh ckp mcm tu ,prnh ckp mcm tu
0,terus kata senior gw lagi deki kalo kamu capek move on mending kamu berdoa gini 'ya tuhan kalo saya gabisa move ,senior gw dek kalo capek move on mending doa gin ya tuhan kalo gabisa move
0,apa cuma aku yg gak ngerti itu mvnya am cb ceritanya lagi ngapain komen sih banyak yg suka tapi aku gak dong ik ,yg gak ngerti mvnya am cb cerita ngapain komen sih yg suka gak ik
0,punya tp tida untuk dibagi'' hanya untuq kdn ,tp tida bagi untuq kdn
0,karena warisan dari orang tua kenapa ga pindah meski itu cuma warisan meskipun aku belum terlalu alim masih ,waris orang tua ga pindah waris alim
-1,perkara paling aku takut bila tak sengaja terlukakan hati seseorang ,perkara takut sengaja luka hati
-1,roommate hasut ajak makan tapi aku malas sangat nak turun cafe ,roommate hasut ajak makan malas nak turun cafe
-1,orang yang belum ada dalam hidup aku tolong jangan datang aku tak nak malas ,orang hidup tolong nak malas
-1,aku nggak pernah baik baik saja kalau lagi kangen sama kamu ,nggak kangen
0,kena game bapak ahhhhh wey geng tak semua laki boleh terima masa silam yg gelap seseorg pmpn tau even aku send ,kena game ahhhhh wey geng laki terima silam yg gelap seseorg pmpn tau even send
-1,sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu ,sedih cerita dr patient huhu makcik nie masuk ward heart attack sngt suka tegur senyu
-1,adik aku ni spesis mulut manis dgn gf tapi dengan aku mulut cam gampang geram aku ,adik ni spesis mulut manis dgn gf mulut cam gampang geram
0,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt ,dara pergi kenduri kahwin lepas tu ramai orang lepas tu risau duduk htt
-1,kawanku bilang ke aku kau orng islam kok makan bpk kan haram dengn santai ku jawab aku juga masih suka alkohol ,kawan bilang kau orng islam makan bpk haram dengn santai ku suka alkohol
-1,abisnya kamu berdusta sih,abis dusta sih
-1,aku murung betul laa jalan asyik pijak kain je ni omg sis tinggi pls,murung laa jalan asyik pijak kain je ni omg sis pls
-1,untuk manusia yang suka dengki aku buat something yang aku happy so jangan kacau okay ,manusia suka dengki something happy so kacau okay
0,pernah makan di der carbin bistro bandareri alam masai jb tak pernah solat di ruang solat kontena kat bawah tu tak in ,makan der carbin bistro bandareri alam masai jb solat ruang solat kontena kat tu in
0,origin yg crack ada ngn aku bawak hardisk haha,origin yg crack ngn bawak hardisk haha
1,dengan tata ruangan yang bikin kamu nyaman deh buat nongkrong ,tata ruang bikin nyaman deh nongkrong
0,sempena hari jumaat ni aku nak mintak sikit sumbangan dari korang untuk mereka di kemboja sana wang sumbangan kekurangan l ,sempena jumaat ni nak mintak sikit sumbang korang kemboja wang sumbang kurang l
0,kalo lagi berdua sama gebetan terus salah satu main hape mulu kemungkinan ada dua 1 lagi ngurus kerjaannya 2 dia nggak ,kalo dua gebetan salah main hape mulu ngurus kerja nggak
-1,weh kejadian memalukan kt rnr gambang aku salah masuk kereta dalam tu ada bini orang tengah gendong anak ,weh jadi malu kt rnr gambang salah masuk kereta tu bini orang gendong anak
-1,nin nun dengerin curhatan emak kamu sibuk dgn pacarmu terus yaa wkwk,nin nun dengerin curhatan emak sibuk dgn pacar yaa wkwk
1,sentaknya terdiam akan bungkusan mie yang ia lihat guys lihat deh aku dapet apa kocak banget gak sih l ,sentak diam bungkus mie lihat guys lihat deh dapet kocak banget gak sih l
1,kamu tidak perlu menjadi bulan atau bintang untuk terlihat sempurna karena menjadi dirimu sendiri adalah sebuah kesempurnaan ,bintang sempurna diri sempurna
0,kalau malaysia ada the purge dua ekor keling ni aku cari aku siat2 kulit aku bakar punai sekor2 aku seksa cukup2 ,malaysia the purge ekor keling ni cari siat kulit bakar punai kor seksa
0,sudah aku follow ya btw di sebelah mana sih j amp t nangor tau ga ,follow ya btw belah sih j amp t nangor tau ga
0,ni nak femes je sebenarnya ,ni nak femes je
1,hahahah agree nak mengadu itu ini panggil awak saya selalu whatsapp hmmm pastu kite marah kite ,hahahah agree nak adu panggil awak whatsapp hmmm pastu kite marah kite
-1,enggan melepas hati yang satu tetapi menggoda hati yang lain kamu ini kemaruk jadi manusia ,enggan lepas hati goda hati kemaruk manusia
1,nampak sgt aku tkde life hahahaha,nampak sgt tkde life hahahaha
0,tengah jenguk ampaian kat luar tetiba ada budak bilik depan ni hi kak kat aku ,jenguk ampai kat tetiba budak bilik ni hi kak kat
-1,mungkin malu beda sama aku udh suka ga ngaku ga cerita2,malu beda udh suka ga ngaku ga cerita
-1,sama aku juga teh pengen usia segitu tapi ngga tau ya nanti gimana wkwk,teh ken usia segitu ngga tau ya gimana wkwk
0,sbb tu bila tak belajar hadis jngn tafsir sndiri sbb akan salah lagi2 guna sheikh google search hadith pastu siap sila tabayyu ,sbb tu ajar hadis jngn tafsir sndiri sbb salah sheikh google search hadith pastu sila tabayyu
-1,sampai sekarang do aku tertanya tanya apa faedahnya kita belajar tiup recorder masa sekolah rendah dulu ,do tanya faedah ajar tiup recorder sekolah rendah
1,pak aku pengen nikah pak nduk nikah kue ibadah ojo kesusu ndak ra khusuk nduk paaak ,ken nikah nduk nikah kue ibadah ojo kesusu ndak ra khusuk nduk paaak
0,adik aku yang darjah 5 tetiba masuk bilik pastu bagi pantun bread is rotihadow is bayangebelum akak mati better ,adik darjah tetiba masuk bilik pastu pantun bread is rotihadow is bayangebelum akak mati better
1,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar ,guys jumpa ayat guna time korang putus asa sabar terbahagi iaitu sabar
-1,makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb ,perkara pendam kongsi orango pelik dah kuat semb
1,ana uhibbuki fillah hatta fil jannah abadan abada aku mencintaimu hingga ke syurga selama lamanya kerana allah ,ana uhibbuki fillah hatta fil jannah abad abada cinta syurga rana allah
-1,ingat kan dulu aku baiiiik sekali tapi semua berubah ketika arisal mengajarkan untuk dingin ,baiiiik ubah arisal ajar dingin
0,sebenarnya takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu ,takde ciri dah sayang someone tu gelap suka putih suka hensem pu
1,mau daftar jadi driver ojol ,daftar driver ojol
-1,crush kalau nak tegur ye tegur kalau suka cakap suka daripada kau dok tengok je story aku tak pernah missebb ,crush nak tegur ye tegur suka cakap suka kau dok tengok je story missebb
-1,hahahaha pastu buat2 terkejut eh dah sampai aku tumbokk muka kau kang ,hahahaha pastu kejut eh dah tumbokk muka kau kang
1,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu pember ,doa rezeki putus inna haa zaa larizquna maa lahu min na fadesungguhnya beri pember
1,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo ,doa lelaki kerja cari duit pasang kesihatan murah rezekiemo
0,'taeyong buka dengerin aku aku bisa jelasin' jalan pak rh ,taeyong buka dengerin jelasin jalan rh
0,weh aku gi kelas tadi and paling bangang dalam hidup aku aku lupa nak tanda attendant apa yang bodohangat hang ni kinnnn meroyan jap ,weh gi kelas and bangang hidup lupa nak tanda attendant bodohangat hang ni kinnnn royan jap
1,happy videogameday untuk seluruh gamers dimanapun kamu beradaemoga engga cuman main gamers juga bisa berprestasi lewat g ,happy videogameday gamers mana beradaemoga engga cuman main gamers prestasi g
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,sungguh nak jaga je henti pura jaga paksa kau kau perl
-1,kl mau jahat sama orang tuh coba pikir dulu dia pernah jahat gak sama kamu dia pernah ngecewain kamu gak dia baik kan kenapa kamu jahat ,kl jahat orang tuh coba pikir jahat gak ngecewain gak jahat
0,aku ke kampus untuk seminar hasil ketemu wong2 podo kabeh takok e kok kluyuran ae ben dikiro maba a ,kampus seminar hasil ketemu podo kabeh takok e kluyuran ae ben dikiro maba a
0,yea kayu ko pnggil aku kan,yea kayu ko pnggil
-1,cikgu lah punca aku tak suka nama sendiri uh,cikgu punca suka nama uh
-1,kemaren bunda cerita ada kucing kaki depannya dua di potong karna nyuri makanan di restoran ya allah ngetik ini aja mata aku panas ,kemaren bunda cerita kucing kaki depan potong karna nyuri makan restoran ya allah ngetik aja mata panas
1,setuju deh sama kamu ,tuju deh
1,moga baik2 saja n dapat baby comel ,moga n baby comel
1,yuk intip gaya busana julie laiskodat ini bisa jadi refrensi kamu ke kondangan lewat ,yuk intip gaya busana julie laiskodat refrensi kondangan
0,kejadiannya gini jadi sektar pertengahan thn ,jadi gin sektar tengah thn
1,aku mohon tepatilah janjimu penantiancintaeps19,mohon tepat janji penantiancintaeps
1,aku akan bertahan selagi aku bisa namun disaat aku sudah tak bisa dan tak kuat bertahan maka aku akan pergi dan menjauh ,tahan selagi saat kuat tahan pergi jauh
0,apa hadiah terakhir yang kamu terima make up ,hadiah terima make up
-1,kerumah tiba2 ngasih kue pas aku umur ke 15thn pdhl selama setahun kita ga pernah chtn dan kabar2an dan tiba2 dia dateng ,rumah ngasih kue pas umur thn pdhl tahun ga chtn kabar an dateng
1,wkwkwk ketawa aku kalo sedaerah sekalian meet up deh g,wkwkwk ketawa kalo daerah meet up deh g
1,ocit kangen banget ini aku irene dapet acc dari temen dan mau balik rpw ,ocit kangen banget irene dapet acc temen rpw
1,hayuk mas aku mau,hayuk mas
-1,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara ,amin ustazah pening kepala me takpelah awak tulis je awak laratampai suruh hantar buku tara
-1,ngagetin asli kesel masa the nun giginya emas kalah aku,ngagetin asli kesel the nun gigi emas kalah
0,family dh book villa utk raya cina pastu abg kata villa tu 4 bilik mak papa 1 bilik bangnan 1 bilik bangwan 1 ,family dh book villa utk raya cina pastu abg villa tu bilik mak papa bilik bangnan bilik bangwan
-1,member dah kahwin aku crush pun tak jumpa lagi ,member dah kahwin crush jumpa
1,iya juga yaa ternyata aku sehebat itu,iya yaa hebat
0,korang tahu tak ada apps namaocar untuk sewa keretaekarang tengah ada banyak promotion sbb baru lagi aku baru tempah k ,korang apps namaocar sewa keretaekarang promotion sbb tempah k
0,miss lanjut miss aku kangen logate cece2 galaxy miss ayotalaaa,miss miss kangen logate cece galaxy miss ayotalaaa
-1,sekalipun jokowi sdh didampingi khma tetap saja dia dituduh pki jangan2 khma jg sdh difitnah sebagai ,jokowi sdh damping khma tuduh pki khma jg sdh fitnah
0,kek mana lah yeen d medan pun gk jumpa nya aku sama kau pulang ajalah aku ,kek yeen d medan gk jumpa nya kau pulang aja
-1,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru ,her miss taman safari yo pasuruan males nganterno andrew kesana kalo taman safari undang ru
0,giveaway pulsa 20k untuk 1 orang pemenang caranya retweet dan follow akun aku aja ya pemenang aku umumin tangga ,giveaway pulsa k orang menang retweet follow akun aja ya menang umumin tangga
0,calon kamu,calon
1,itu apalagi cuma tuduhan tak berdasar opo aku ra tambah ngguyu ,tuduh dasar opo ra ngguyu
1,gaisss gaiss aku mau ajak kalian bernostalgia nihh yukk simaxxxx,gaisss gaiss ajak nostalgia nihh yukk simaxxxx
0,ohhh iya aku baru mudeng,ohhh iya mudeng
-1,aku dah give up seratus tahun lalu,dah give up ratus
0,siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s ,siang happy friday sholat jum at nya lupa ya habis giat latih bareng team j s
-1,salah mulu aku tuhh ,salah mulu tuhh
-1,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang ,faham jenis orang malaysia ret nak sangkut hose tu geli bodoh nak pegang
-1,siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p ,first impression niumpah kau sombong gila orang cakap kau sombong p
1,aku yg ngobatin kalo kamu sakit ,yg ngobatin kalo sakit
0,aku tengok member yang keluar pergi sana sini tak habis2 duit diorang guna ilmu apa aku makan terlebih 10 ringgit sikit ,tengok member pergi habis duit orang ilmu makan ringgit sikit
0,rlt kakk aku mau jumatan tapi ngantuk bgtt semangatin aku dong huhu ,rlt kakk jumat ngantuk bgtt semangatin huhu
1,kalaulah dengan senyuman boleh pulihkan hati aku yang sakit ni aku sanggup senyumetiap masa aku sanggup ,senyum pulih hati sakit ni sanggup senyumetiap sanggup
-1,sayang kamu ga inget aku ,sayang ga inget
-1,aku ada buat salah ke ,salah
-1,penat la bukak twitter skrg gaduh pasal lgbtemua nk buat undang2 sendiri lelaki dgn perempuan gaduh pasal siapa paling ,penat la bukak twitter skrg gaduh pasal lgbtemua nk undang lelaki dgn perempuan gaduh pasal
0,start 0 05 dia terus jadi rosenicotine ,start rosenicotine
1,tapi aku mencintaimu 30 emha ainun nadjib 14ep 2018 tetes tak mungkin kau temukan alama ,cinta emha ainun nadjib ep tetes kau temu alama
1,iya tulus itu coba saja kamu fokus bersihin jerawat biar pede lagi,iya tulus coba fokus bersihin jerawat biar pede
0,kawan aku yg pakwe dia kaki pukul dia tu no 4 kena pukul ke apa ke lambat dia nak marah lpstu cepat pulak sejuk hatinya ,kawan yg pakwe kaki tu no kena lambat nak marah lpstu cepat pulak sejuk hati
1,dan memang terbuktilah aku lagi tertarik dengan orang yg kelakar hahaahahahahaha,bukti tarik orang yg kelakar hahaahahahahaha
-1,kayaknya kalo nonton langsung aku pengsan,kayak kalo nonton langsung pengsan
1,hanya karena kamu ditolak tidak berarti kau harus bersedih ,tolak kau sedih
0,gengss help rt yaaa aku jual ini nih sm postcard dvd daniel 60k aja yg member set tinggal jaehwan jisung daehwi ,gengss help rt yaaa jual nih sm postcard dvd daniel k aja yg member set tinggal jaehwan jisung daehwi
0,terus ga lama kemudian ada nonik sekitar umur 11 taun dtg sama sus nya nyamperin cici yg drtd chit chat ,ga nonik umur taun dtg sus nya nyamperin cici yg drtd chit chat
0,di kepala aku kok ya jelas sekali semua adegan2nya bisa di buat skrip film ini ,kepala ya adegan nya skrip film
1,aku ganteng weareskatepunkers,ganteng weareskatepunkers
0,kalau nak cari baju kemeja batik or tshirt batik ni aku syor kan korang tengok kat ig ni harga dia mur mur bin ladin ht ,nak cari baju kemeja batik or tshirt batik ni syor korang tengok kat ig ni harga mur mur bin ladin ht
1,tidak ada yang sia sia jika kamu bisa mengambil hikmah dari setiap masalahemua hanya proses pembelajaran diri untuk men ,sia sia ambil hikmah masalahemua proses ajar men
0,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo ,giveaway umur tambah bagi rules aja ucap wish screenshoo
1,semoga kamu tdk secepatnya berlalu ,moga tdk cepat
1,kamu mau kemana sih udah disini aja diluar dingin biar aku peluk ucap kasur kepadaku di setiap pagi hari ,mana sih udah aja luar dingin biar peluk kasur kepada pagi
0,seimbang aku berat sebelah ,imbang berat belah
1,aku akan meyakinkan smw org bahwa mohini mencintai hartamu mohini penantiancintaeps19,smw org mohini cinta harta mohini penantiancintaeps
0,bwk aku pantai remis pon bolehh haha,bwk pantai remis pon bolehh haha
-1,alalalaaaaa baru nk tunjuk kat adik aku video ngokngek koya melukis tu u u,alalalaaaaa nk kat adik video ngokngek koya luk tu u u
0,silence and pendam lebih better aku dah taknak jadi mcm dulu dah aku kena happy ,silence and pendam better dah taknak mcm dah kena happy
0,gimana kalo aku bener bener suka kamu gt lt ,gimana kalo bener bener suka gt lt
0,snsd grup berumur 11 tahun bikin saham agensi naik auto trending topic worldwide tinggi di chart musik 1 di it ,snsd grup umur bikin saham agens auto trending topic worldwide chart musik it
0,kalau adik aku kasi oi aku pun siap dia dgn cewek dia punya mainnnnnnnn nda pernah nda bagi salam alim kemainnnn ,adik kasi oi dgn cewek mainnnnnnnn nda nda salam alim kemainnnn
0,walaikumsalam sebab kami cuba untuk menggunakan teknik ingatan yang baik walau camane pon kami tetap kalah sebab perempua ,walaikumsalam cuba teknik ingat camane pon kalah perempua
1,mau dong aku lg butuh acc ,lg butuh acc
1,aku tidak akan melepaskan tanganmu sebelum kau melepaskannya full house,lepas tangan kau lepas full house
1,aku suka orang cakap macam ni even tak rasa benda tu menyusahkan pon at least aku tahu dia appreciate pertolongan aku https ,suka orang cakap ni even benda tu susah pon at least appreciate tolong
0,pernah jadi guru tamu did elite diby barat nunjukin foto jl uripumoharjo me ada yang ,guru tamu did elite diby barat nunjukin foto jl uripumoharjo me
0,kalaulah aku jumpa life hack ganti minyak motor ni dulu genius budak budak sekarang ni ,jumpa life hack ganti minyak motor ni genius budak budak ni
0,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara ,amin ustazah pening kepala me takpelah awak tulis je awak laratampai suruh hantar buku tara
-1,aku hanya mengingkari kata hatiku saja ,ingkar hati
0,kwajanya tinggalkan aku ,kwajanya tinggal
0,kapan aku dapet ginian ,dapet ginian
-1,weh aku murung seumur hidup,weh murung umur hidup
-1,bukan aku taknak ws ibu or kakngah tapi nanti pemurah je ayaq mata aku ni lagumana ka,taknak ws or kakngah murah je ayaq mata ni lagumana ka
1,wkwkwkwkwkwwk tumben sekali kamu bepikir positip iiiaaaa,wkwkwkwkwkwwk tumben bepikir positip iiiaaaa
-1,ya masak kepala2 negara ini mengecam jokowi di dpn umum iri mungkin iya ,ya masak kepala negara kecam jokowi dpn iri iya
0,kamu punya apa kirim cv dulu sini,kirim cv
0,hadeh yaudah aku juga mau ancang ancang dulu deh,hadeh yaudah ancang ancang deh
1,izinkan aku berbahagia karena aku serius bisa buat photocard sendiri lel ,izin bahagia serius photocard lel
0,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka ,nak tidur still fikirkan orang sayang okay tu tidur lena perlu ka
0,aku risau nik ni jatuh hukum wajib kahwin je nanti hahahahaha,risau nik ni jatuh hukum wajib kahwin je hahahahaha
1,aku suka liat kakaknya jadi mas adimas lagi dong kalo sehun ,suka liat kakak mas adimas kalo hun
0,mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j ,mini giveaway hubung ultah rezeki pulsa k like aja mutualan bgt doain yaa undi j
0,cis lagi tepat aku nya cam haram,cis nya cam haram
0,wig brand takoya itu skrg harganya berapa deh aku jual dari lama belum laku2 juga padahal udah turun harga 3 ,wig brand takoya skrg harga deh jual laku udah turun harga
